Name,Type,Grade,Probability,retentionEffect,EquipEffect
몽둥이,무기,일반,3.978,7.49,36.8
나무도끼,무기,일반,3.978,7.49,44.6
엉성한활,무기,일반,3.978,7.49,52.5
목검,무기,일반,3.978,7.49,60.4
막대지팡이,무기,일반,3.978,7.49,68.3
야구배트,무기,희귀,6.2,33.8,165
돌도끼,무기,희귀,6.2,33.8,201
활,무기,희귀,6.2,33.8,236
돌검,무기,희귀,6.2,33.8,272
지팡이,무기,희귀,6.2,33.8,307
가시배트,무기,에픽,7.4,152,744
가시검,무기,에픽,7.4,152,904
가시도끼,무기,에픽,7.4,152,1060
가시지팡이,무기,에픽,7.4,152,1220
가시활,무기,에픽,7.4,152,1380
철배트,무기,유니크,2.4,685,3350
철검,무기,유니크,2.4,685,4070
거대한도끼,무기,유니크,2.4,685,4780
해골지팡이,무기,유니크,2.4,685,5500
무서운활,무기,유니크,2.4,685,6220
강철대검,무기,레전드리,0.018,3080,15100
불꽃검,무기,레전드리,0.018,3080,18300
차가운창,무기,레전드리,0.018,3080,21500
은빛망치,무기,레전드리,0.018,3080,24800
신궁의활,무기,레전드리,0.018,3080,28000
번개,무기,신화,0.004,13900,67800
사신의낫,무기,신화,0.004,13900,82300
원소지팡이,무기,신화,0.004,13900,96900
서리망치,무기,신화,0.004,13900,111000
황혼의활,무기,신화,0.004,13900,126000
